clothes and appearance,одежда и внешность
anorak,куртка с капюшоном
appear,появляться
appearance,"появление, внешность"
apron,фартук
belt,ремень
blouse,блузка
bow tie,галстук бабочка
briefcase,"дипломат, портфель"
button,"пуговица, кнопка"
casual,повседневный
catalogue,каталог
clothing,"одежда, обмундирование"
collar,воротник
costume,костюм (карнавальный)
cuff,манжет
dressing-gown,халат
dungarees,"комбинезон, рабочие брюки из плотной ткани"
earring,серьга
fancy dress party,маскарад
fashion,мода
fit,подходить по размеру
formal,"деловой, формальный"
go with,сочетаться
inside out,наизнанку
jacket,"куртка, пиджак"
let in,подшить
let out,выпустить подшитое
mac,"плащ, макинтош"
neck,шея
nightdress,ночная сорочка
outfit,"комплект, экипировка"
overall,"спецодежда, рабочий комбинезон"
overcoat,пальто
plain,"однотонный, без рисунка, простой"
polite,вежливый
put away,убрать на место
put on,надевать
robe,"рабочая одежда, роба"
round and round,кругами
sandal,сандалий
scarf,шарф
shoelace,шнурок
shopper,покупатель
side by side,бок о бок
sleeve,рукав
sole,подошва
stocking,чулок
style,стиль
suit,деловой костюм
suit,"подходить, (идти к глазам)"
take in,ушивать
take up,укорачивать
tie,"галстук, завязывать"
tights,колготки
tracksuit,спортивный костюм
try on,примерять
turn up,подворачивать
underwear,нижнее белье
undo,расстёгивать
uniform,униформа
upside down,вверх тормашками
waistcoat,жилет
