towns and buildings,города и здания
attic,чердак
basin,раковина для умывания (сокращённый)
blind,жалюзи
boarding school,школа интернат
bookshelves,книжные полки
bungalow,бунгало
bunk,"койка, двухъярусная кровать"
bush,куст
carpet,ковер
cave,пещера
ceiling,потолок
cellar,"подвал, чулан"
central heating,центр. отопление
chimney,дымоход
commute,ездить на работу в город из пригорода
cooker,плита
cottage,коттедж
countryside,сельская местность
cupboard,посудный шкаф
curtains,"шторы, занавески"
cushion,диванная подушка
detached,отдельно стоящий дом
dishwasher,посудомоечная машина
doormat,дверной коврик
drain,водосточная труба
drive,проезд до гаража
earth,"земля, почва"
edge,край
entrance,вход (физ)
entry,"ввод данных, проникновение, доступ"
estate,недвижимость
fence,забор
fireplace,камин
fitted,встроенный
flat,квартира
frame,рамка
gate,ворота
greenhouse,теплица
head,"передняя часть, изголовье"
hedge,живая изгородь
housing,"корпус, застройка"
hut,хижина
kennel,"будка, конура"
kerb,бордюр
ladder,"лестница, стремянка"
landing,лестничная площадка
lane,улочка в деревне
lawn,"лужайка, газон"
letterbox,почтовый ящик
litter,мусор уличный
motorway,"шоссе, автострада"
neighbourhood,"соседи, округа"
oven,"печка, духовка"
path,тропинка
pavement,тротуар
pedestrian,пешеход
pick,"собирать, срывать"
pillow,подушка для сна
poster,"постер, плакат"
radiator,батарея
rent,аренда
rubbish,мусор домашний
rug,коврик
rural,сельский
semi-detached,на 2-х хозяев
settee,"диван, кушетка"
shed,сарай
shopping centre,торговый центр
shower,душ
shutter,ставни
sill,подоконник
sink,раковина для посуды
skyscraper,небоскреб
sofa,диван
square,площадь
stained,витражный
stair,ступенька
stool,табурет
storey,этаж
suburb,пригород
tap,кран
terraced,"таун-хаус, застройка в ряд"
unfurnished,немеблированный
urban,городской
wardrobe,шкаф для одежды
washbasin,раковина для умывания (полный)
wheelbarrow,"тачка, тележка"
