vehicles and transport,автомобили и tpaнcпopтные средства
aboard,на борту
adjust,"приспособить, подстроить, настроить"
aerial,антенна
avoid,избегать
bonnet,капот
boot,багажник
brake,тормоз
break down,сломаться
bumper,бампер
cancel,отменять
chain,цепь
chauffeur,"водитель, шофер"
coach,междугородный автобус
cockpit,кабина пилота
collide,сталкиваться
drift,дрейфовать
engine,двигатель
exhaust,выхлопные газы
fare,плата за проезд
float,плыть на поверхности
fire engine,пожарный автомобиль
(change) gear,передача скоростей
guard,охранник
handlebars,руль велосипеда
headlight,фара
injure,травмировать
involve,вовлекать
mechanic,механик
motorist,"автомобилист, автолюбитель"
oar,весло
overboard,за бортом
parachute,парашют
parking ticket,парковочный билет
platform,платформа
pump,насос
quay,причал
queue,очередь
rail,"рейка, перекладина, рельс"
rescue,спасать
roof rack,багажник на крыше
row,грести
runway,взлетная полоса
save,"спасать, сберегать"
seat belt,ремень безопасности
sink,тонуть
skid,снежные заносы
steering wheel,руль
stretcher,носилки
traffic warden,инспектор дор движения
transport,транспорт
tube,подземка
tunnel,тоннель
tyre,шина
vehicle,средство передвижения
wagon,фургон
windscreen,лобовое стекло
wing,крыло
wipers,"щетки, очиститель"
